770,810,BOTTLE: Skalar Sanplus Autoanalyzer (CFA),
771,810,BOTTLE: Radiometer automatic titrator TTT80 & dual platinum electrode,
772,810,BOTTLE: Fluorometer, Turner Designs
773,810,BOTTLE: Fluorometer, Turner Designs
774,810,BOTTLE: Fluorometer, Turner Designs
775,810,BOTTLE: Hale apparatus with thermometer (Prestwich, 1875)
776,810,BOTTLE: Ionometer electrolyte analyzer (Brand: Unknown; Model: EV 74),
777,810,BOTTLE: AKEA autoanalyzer,
778,810,BOTTLE: Dissolved organic carbon (DOC) Shimadzu Total Organic Carbon Analyzer,
7013,810,BOTTLE: Beckman DU II spectrophotometer,
7014,810,BOTTLE: Spectronic 20 spectrophotometer,
7016,810,BOTTLE: Beckman pH meter model G-2 or GS,
7017,810,BOTTLE: Beckman pH meter model unknown,
7018,810,BOTTLE: Klett-Summerson photo-electric colorimeter (Garver, 1951)
7019,810,BOTTLE: Photo-electric colorimeter (Brand: Unknown; Model FEK 60),
7020,810,BOTTLE: Gas chromatograph (GC) with electron capture detector (ECD), model unknown
7050,810,BOTTLE: Kahlisco induction salinometer, model unknown.
7060,810,BOTTLE: Generic glass reversing thermometers (protected/unprotected),
801,995,UNDERWAY: MK3 data recording tag (Wildlife Computers) mounted on elephant seal,
802,999,UNDERWAY: THERMOSALINOGRAPH, UNKNOWN BRAND & MODEL
803,999,UNDERWAY: SEACAT Thermosalinograph SBE 21 (Sea-Bird Electronics, Inc.)
